State,Substate Region,12-17 Estimate,"12-17 
95% CI (Lower)","12-17 
95% CI (Upper)",18-25 Estimate,"18-25 
95% CI (Lower)","18-25 
95% CI (Upper)",26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper),18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper)
Kentucky,Four Rivers and Pennyroyal,*,*,*,3.64%,1.98%,6.59%,0.84%,0.43%,1.65%,1.25%,0.70%,2.24%
Kentucky,"Kentucky River, Mountain, and Pathways",*,*,*,3.90%,2.21%,6.79%,1.16%,0.61%,2.18%,1.52%,0.87%,2.66%
Louisiana,Louisiana,0.33%,0.19%,0.57%,4.01%,2.93%,5.47%,1.41%,0.98%,2.03%,1.79%,1.32%,2.43%
Louisiana,Regions 1 and 10,*,*,*,5.30%,3.36%,8.26%,2.00%,1.20%,3.32%,2.46%,1.57%,3.84%
Louisiana,Region 1,*,*,*,*,*,*,2.82%,1.52%,5.17%,3.32%,1.91%,5.72%
Louisiana,Region 10 (Jefferson),*,*,*,4.22%,2.33%,7.54%,1.14%,0.60%,2.15%,1.51%,0.85%,2.67%
Louisiana,Regions 2 and 9,0.36%,0.19%,0.68%,4.19%,2.61%,6.65%,1.21%,0.70%,2.10%,1.67%,1.05%,2.64%
Louisiana,Region 3,*,*,*,3.65%,2.04%,6.45%,1.31%,0.70%,2.43%,1.64%,0.94%,2.86%
Louisiana,"Regions 4, 5, and 6",0.35%,0.18%,0.67%,3.86%,2.24%,6.58%,1.29%,0.71%,2.31%,1.66%,0.99%,2.79%
Louisiana,Regions 7 and 8,*,*,*,2.93%,1.63%,5.20%,1.28%,0.70%,2.33%,1.53%,0.89%,2.61%
Maine,Maine,0.81%,0.52%,1.26%,6.04%,4.64%,7.83%,1.32%,0.94%,1.84%,1.88%,1.44%,2.46%
Maine,Aroostook/Downeast,*,*,*,5.20%,3.32%,8.06%,1.20%,0.71%,2.01%,1.64%,1.04%,2.56%
Maine,Aroostook,*,*,*,4.76%,2.66%,8.40%,1.26%,0.65%,2.42%,1.66%,0.92%,2.97%
Maine,Downeast,*,*,*,*,*,*,1.15%,0.60%,2.21%,1.62%,0.91%,2.88%
Maine,Central,*,*,*,4.72%,2.57%,8.51%,1.10%,0.58%,2.06%,1.52%,0.86%,2.66%
Maine,Cumberland,0.76%,0.43%,1.33%,8.98%,5.91%,13.41%,1.60%,0.95%,2.67%,2.51%,1.66%,3.78%
Maine,Midcoast,*,*,*,*,*,*,1.11%,0.59%,2.09%,1.52%,0.86%,2.67%
Maine,Penquis,*,*,*,5.10%,2.99%,8.56%,1.35%,0.75%,2.42%,1.90%,1.14%,3.13%
Maine,Western,0.63%,0.37%,1.09%,4.93%,2.87%,8.32%,1.40%,0.79%,2.48%,1.84%,1.10%,3.07%
Maine,York,1.06%,0.57%,1.95%,6.08%,3.73%,9.77%,1.24%,0.69%,2.20%,1.79%,1.10%,2.90%
